obs,name,address,total_staff,total_non_staff
85,Chick-Fil-A Downey,"8613 Firestone Blvd, Downey, CA, 90241",21,0
86,Chick-Fil-A Santa Clarita,"24180 Magic Mountain Pkwy, Santa Clarita, CA, 91355",13,0
87,CIMC Intermodal Equipment,"10530 Sessler St, South Gate, CA, 90280",15,0
88,Cintas Corp.,"7735 Paramount Blvd, Pico Rivera, CA, 90660",14,0
89,Cintas Corporation,"20100 S Susana Rd, Compton, CA, 90221",18,0
90,Citibank,"13003 Victory Blvd, North Hollywood, CA, 91606",6,0
91,City of Baldwin Park,"14403 Pacific Ave, Baldwin Park, CA, 91706",20,0
92,"City of Carson, City Hall, 2nd Floor","701 E Carson St, Carson, CA, 90745",12,0
93,City of Santa Clarita,"23920 Valencia Blvd, Santa Clarita, CA, 91355",11,0
94,Classic Distributing & Beverage Group,"120 Puente Ave, City of Industry, CA, 91746",38,0
95,Coast Packing Company,"3275 E Vernon Ave, Vernon, CA, 90058",20,0
96,Cole Vocational Services,"14028 Pioneer Blvd, Norwalk, CA, 90650",4,1
97,Comfort Keepers Home Care (Senior Care),"420 W Baseline Rd, Ste D, Claremont, CA, 91711",3,0
98,Command Packing,"3840 E 26th St, Vernon, CA, 90058",36,0
99,Compton Fire Department - Fire Station 1,"201 Acacia Avenue, Compton, CA, 90220",14,0
100,Compu-Aire,"8167 Byron Rd, Whittier, CA, 90606",24,0
101,"Consolidated Disposal Services, LLC","14905 S San Pedro St, Gardena, CA, 90248",25,0
102,Consolidated Precision Products #1,"4200 Valley Blvd, Walnut, CA, 91789",14,0
103,Consolidated Precision Products #2,"16800 Chestnut St, City of Industry, CA, 91748",29,0
104,Contessa Premium Food,"5970 Alcoa Ave, Vernon, CA, 90058",65,0
105,Corn Maiden Foods,"24201 Frampton Ave, Harbor City, CA, 90710",14,0
106,"Costco Business Center Warehouse, Burbank #653","11428 Sherman Way, North Hollywood, CA, 91605",30,0
107,Costco Warehouse Burbank #677,"1051 W Burbank Blvd, Burbank, CA, 91506",35,0
108,Costco Warehouse Signal Hill #424,"2200 E Willow St, Signal Hill, CA, 90755",51,0
109,"Costco Warehouse, Culver City #479","13463 Washington Blvd, Marina Del Rey, CA, 90292",71,0
110,"Costco Warehouse, Lancaster #762","1141 W Avenue L, Lancaster, CA, 93534",25,0
111,"Costco Warehouse, Los Feliz #130","2901 Los Feliz Blvd, Los Angeles, CA, 90039",37,0
112,"Costco Warehouse, Monterey Park #1318","2000 Market Place Dr, Monterey Park, CA, 91755",43,0
113,"Costco Warehouse, Santa Clarita #447","18649 Via Princessa, Santa Clarita, CA, 91387",38,0
114,"Costco Warehouse, Van Nuys #48","6100 Sepulveda Blvd, Van Nuys, CA, 91411",58,0
115,"Costco Warehouse, Woodland Hills #1205","21800 Victory Blvd, Woodland Hills, CA, 91367",56,0
116,Covina Police Department,"444 N Citrus Ave, Covina, CA, 91723",29,0
117,CR Laurence,"2503 E Vernon Ave, Vernon, CA, 90058",47,0
118,CR Laurence (CRL),"2100 E 38th St, Vernon, CA, 90058",5,0
119,Crash Champions,"1851 Obispo Ave, Signal Hill, CA, 90755",11,0
120,Crystal Art Gallery,"4950 S Santa Fe Ave, Vernon, CA, 90058",17,0
